INFO - Distances - Left: 56.842954695707704, Center: 0.93, Right: 51.52561434852032
INFO - {"Timestamp": "2025-08-26T12:55:00.997460", "Function": "Move Forward", "Angle": 35, "Speed": 5}
INFO - {"Timestamp": "2025-08-26T12:55:01.207045", "Function": "Turn Right", "Angle": 34, "Speed": 5}
INFO - Distances - Left: 57.173898255359745, Center: 0.58, Right: 51.53353765051634
INFO - {"Timestamp": "2025-08-26T12:55:01.269019", "Function": "Stopped", "Angle": 34, "Speed": "0.0"}
INFO - Distances - Left: 56.89059739879667, Center: 0.58, Right: 51.54180394888499
INFO - {"Timestamp": "2025-08-26T12:55:01.330483", "Function": "Move Forward", "Angle": 34, "Speed": 0}
INFO - {"Timestamp": "2025-08-26T12:55:01.539837", "Function": "Turn Right", "Angle": 33, "Speed": 0}
INFO - Distances - Left: 57.30727379866494, Center: 0.56, Right: 51.5503618019693
INFO - {"Timestamp": "2025-08-26T12:55:01.599711", "Function": "Stopped", "Angle": 33, "Speed": "0.0"}
INFO - {"Timestamp": "2025-08-26T12:55:02.148303", "Function": "Stopped", "Angle": 25, "Speed": 0.0}
INFO - {"Timestamp": "2025-08-26T12:55:02.148772", "Function": "Move Backward", "Angle": 25, "Speed": 30}
INFO - {"Timestamp": "2025-08-26T12:55:02.231647", "Function": "Stopped", "Angle": 25, "Speed": "0.0"}
INFO - {"Timestamp": "2025-08-26T12:55:02.336786", "Function": "Stopped", "Angle": 25, "Speed": 0.0}
INFO - {"Timestamp": "2025-08-26T12:55:03.309264", "Function": "Move Forward", "Angle": 25, "Speed": 0}
INFO - {"Timestamp": "2025-08-26T12:55:03.518183", "Function": "Turn Right", "Angle": 35, "Speed": 0}
INFO - Distances - Left: 4.590403302904633, Center: 0.93, Right: 51.88924579783816
INFO - {"Timestamp": "2025-08-26T12:55:03.573563", "Function": "Stopped", "Angle": 35, "Speed": "0.0"}
INFO - Distances - Left: 3.9476041501075088, Center: 0.55, Right: 51.90035899729537
INFO - {"Timestamp": "2025-08-26T12:55:03.628933", "Function": "Move Forward", "Angle": 35, "Speed": 0}
INFO - {"Timestamp": "2025-08-26T12:55:03.841341", "Function": "Turn Right", "Angle": 34, "Speed": 0}
INFO - Distances - Left: 2.315524393202395, Center: 0.55, Right: 51.89780365092247
INFO - {"Timestamp": "2025-08-26T12:55:04.008324", "Function": "Stopped", "Angle": 34, "Speed": "0.0"}
INFO - {"Timestamp": "2025-08-26T12:55:04.657204", "Function": "Turn Left", "Angle": 0, "Speed": 0.0}
INFO - {"Timestamp": "2025-08-26T12:55:04.657586", "Function": "Move Backward", "Angle": 0, "Speed": 30}
